Split,Disease,Filename,Extension,Width,Height,Channels,Color Mode,File Size (KB),File Size (MB),Full Path
train,Mild_Demented,mild_10.jpg,.jpg,128,128,1,L,4.08,0.004,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_10.jpg
train,Mild_Demented,mild_100.jpg,.jpg,128,128,1,L,3.95,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_100.jpg
train,Mild_Demented,mild_102.jpg,.jpg,128,128,1,L,3.92,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_102.jpg
train,Mild_Demented,mild_103.jpg,.jpg,128,128,1,L,3.95,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_103.jpg
train,Mild_Demented,mild_106.jpg,.jpg,128,128,1,L,4.02,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_106.jpg
train,Mild_Demented,mild_107.jpg,.jpg,128,128,1,L,3.58,0.0035,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_107.jpg
train,Mild_Demented,mild_108.jpg,.jpg,128,128,1,L,3.94,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_108.jpg
train,Mild_Demented,mild_11.jpg,.jpg,128,128,1,L,4.15,0.0041,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_11.jpg
train,Mild_Demented,mild_110.jpg,.jpg,128,128,1,L,3.93,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_110.jpg
train,Mild_Demented,mild_111.jpg,.jpg,128,128,1,L,3.9,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_111.jpg
train,Mild_Demented,mild_112.jpg,.jpg,128,128,1,L,3.76,0.0037,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_112.jpg
train,Mild_Demented,mild_113.jpg,.jpg,128,128,1,L,3.9,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_113.jpg
train,Mild_Demented,mild_114.jpg,.jpg,128,128,1,L,4.08,0.004,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_114.jpg
train,Mild_Demented,mild_115.jpg,.jpg,128,128,1,L,3.99,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_115.jpg
train,Mild_Demented,mild_117.jpg,.jpg,128,128,1,L,3.79,0.0037,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_117.jpg
train,Mild_Demented,mild_119.jpg,.jpg,128,128,1,L,3.98,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_119.jpg
train,Mild_Demented,mild_12.jpg,.jpg,128,128,1,L,4.17,0.0041,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_12.jpg
train,Mild_Demented,mild_120.jpg,.jpg,128,128,1,L,4.0,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_120.jpg
train,Mild_Demented,mild_122.jpg,.jpg,128,128,1,L,3.99,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_122.jpg
train,Mild_Demented,mild_124.jpg,.jpg,128,128,1,L,4.14,0.004,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_124.jpg
train,Mild_Demented,mild_125.jpg,.jpg,128,128,1,L,3.91,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_125.jpg
train,Mild_Demented,mild_127.jpg,.jpg,128,128,1,L,3.88,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_127.jpg
train,Mild_Demented,mild_129.jpg,.jpg,128,128,1,L,3.99,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_129.jpg
train,Mild_Demented,mild_13.jpg,.jpg,128,128,1,L,3.93,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_13.jpg
train,Mild_Demented,mild_130.jpg,.jpg,128,128,1,L,3.86,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_130.jpg
train,Mild_Demented,mild_131.jpg,.jpg,128,128,1,L,3.87,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_131.jpg
train,Mild_Demented,mild_132.jpg,.jpg,128,128,1,L,3.9,0.0038,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_132.jpg
train,Mild_Demented,mild_133.jpg,.jpg,128,128,1,L,4.02,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_133.jpg
train,Mild_Demented,mild_134.jpg,.jpg,128,128,1,L,4.02,0.0039,C:\Users\mohib\Desktop\Alzheimer_Split\train\Mild_Demented\mild_134.jpg
